,album_name,album_uri,artist_name,artist_uri,duration_ms,pos,track_name,track_uri
35,D-12 World,spotify:album:61EgDesQnFVyYf2UneM9PQ,D12,spotify:artist:5Qi4Bb7a8C0a00NZcA77L0,298773,35,My Band,spotify:track:4XHQyvbrBsQaaBUW1VvmsL
36,2001,spotify:album:5csXMdS69VOvh8MjyfwkjB,Dr. Dre,spotify:artist:6DPYiyq5kWVQS4RGwxzPC7,161600,36,The Next Episode,spotify:track:20LxTsa6936zOlzTWqoPVt
37,Working Class Dog,spotify:album:4KKFWTePKtgb6mOwFDqxYa,Rick Springfield,spotify:artist:6IFXsrXBpwbIqtOUOiAa3p,194120,37,Jessie's Girl,spotify:track:5RsUlxLto4NZbhJpqJbHfN
38,No End In Sight: The Very Best Of Foreigner (Expanded),spotify:album:3RYi1mBYapOaGWQvwRjRjr,Foreigner,spotify:artist:6IRouO5mvvfcyxtPDKMYFN,232333,38,Feels Like the First Time - 2008 Remastered Version,spotify:track:36xEjbl8DtevPJgw6i9IuY
39,Double Vision [Expanded],spotify:album:6lu6DYE0eHHp1gd3QGUYhu,Foreigner,spotify:artist:6IRouO5mvvfcyxtPDKMYFN,268693,39,Hot Blooded,spotify:track:6xMHglHoafdDFGXS6qfwSH
40,Foreigner [Expanded],spotify:album:1OU7zJvUfgxxPHgkTClt1M,Foreigner,spotify:artist:6IRouO5mvvfcyxtPDKMYFN,200573,40,Cold As Ice - Single / LP Version,spotify:track:7vidktgNZFQylTgH1GEnMs
41,Escape,spotify:album:43wpzak9OmQfrjyksuGwp0,Journey,spotify:artist:0rvjqX7ttXeg3mTy8Xscbt,250986,41,Don't Stop Believin',spotify:track:4bHsxqR3GMrXTxEPLuK5ue
42,A Day At The Races,spotify:album:0QRlYlrBuP7eGpEMZvZiaQ,Queen,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,296480,42,Somebody To Love - Remastered 2011,spotify:track:3vCHmbyOgc6pgwLUWfU4pF
43,A Night At The Opera,spotify:album:1TSZDcvlPtAnekTaItI3qO,Queen,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,354320,43,Bohemian Rhapsody - Remastered 2011,spotify:track:1AhDOtG9vPSOmsWgNW0BEY
44,Club Life - Volume 2 Miami,spotify:album:5P21DkmdD7MiWR05Mde1Cc,Ti?sto,spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,269746,44,We Own the Night (feat. Luciana) [Original Mix],spotify:track:6ns18ZPBRy4B4n06cplufL
45,Eyes On Fire,spotify:album:5wFQEk3sV9Zjo3xnGZLS42,Blue Foundation,spotify:artist:1FWybrAwiSa0zKibdLfZZr,320000,45,Eyes On Fire - Zeds Dead Remix,spotify:track:3Oiauiojgokw9vWQvFmEoI
46,Take Over Control,spotify:album:1GXqE2FTs1xeanQheyjtCA,Afrojack,spotify:artist:4D75GcNG95ebPtNvoNVXhz,208619,46,Take Over Control - Radio Edit,spotify:track:24ATpf896KofEEDCd13myS
47,Pieces Of Eight,spotify:album:294yFGYq9SBXWR4g6dK63D,Styx,spotify:artist:4salDzkGmfycRqNUbyBphh,257226,47,Renegade,spotify:track:1CQqupcyMg7176PPmIVmSj
48,Toys In The Attic,spotify:album:36IxIOGEBAXVozDSiVs09B,Aerosmith,spotify:artist:7Ey4PD4MYsKc5I2dolUwbH,274133,48,Sweet Emotion,spotify:track:24NwBd5vZ2CK8VOQVnqdxr
49,Wild Cherry,spotify:album:27ompw8zlrCkWMacS21ysX,Wild Cherry,spotify:artist:4apX9tIeHb85yPyy4F6FJG,300000,49,Play That Funky Music,spotify:track:5uuJruktM9fMdN9Va0DUMl
50,Let It Bleed,spotify:album:0c78nsgqX6VfniSNWIxwoD,The Rolling Stones,spotify:artist:22bE4uQ6baNwSHPVcDxLCe,270773,50,Gimme Shelter,spotify:track:1dv3ePjze9tPq2pk8eWJdR
51,The Rules Of Dada,spotify:album:1lqbyIuEs1vy1lfgdKvCu0,Dada Life,spotify:artist:00sAT5YX8W3xNd1EuqyHw9,228680,51,Happy Violence,spotify:track:0qfrk2Wa53HcBusHfkgrZN
52,White Noise / Red Meat,spotify:album:00gJ7r3utgHWH2oFlE9Abt,Dada Life,spotify:artist:00sAT5YX8W3xNd1EuqyHw9,200809,52,White Noise / Red Meat - Radio Edit,spotify:track:5FCHT8kMQ916mqPsZjv38t
53,The Rules Of Dada,spotify:album:1lqbyIuEs1vy1lfgdKvCu0,Dada Life,spotify:artist:00sAT5YX8W3xNd1EuqyHw9,183760,53,Feed The Dada,spotify:track:6lc6S1eIoJhi6YJn6lCnHB
54,The Rules Of Dada,spotify:album:1lqbyIuEs1vy1lfgdKvCu0,Dada Life,spotify:artist:00sAT5YX8W3xNd1EuqyHw9,202506,54,Kick Out The Epic Motherf**ker,spotify:track:0FEPq7gON5KivhwrsWN0gI
55,Who's Next,spotify:album:53PBYiedQrASAs5sy63JqT,The Who,spotify:artist:67ea9eGLXYMsO2eYQRui3w,513000,55,Won't Get Fooled Again - Remix,spotify:track:1W1GpfPujmgp2vQqcpUhtU
56,Pronounced' Leh-'Nerd 'Skin-'Nerd,spotify:album:6DExt1eX4lflLacVjHHbOs,Lynyrd Skynyrd,spotify:artist:4MVyzYMgTwdP7Z49wAZHx0,547106,56,Free Bird,spotify:track:5EWPGh7jbTNO2wakv8LjUI
57,Boston,spotify:album:2QLp07RO6anZHmtcKTEvSC,Boston,spotify:artist:29kkCKKGXheHuoO829FxWK,467640,57,Foreplay / Long Time,spotify:track:39C5FuZ8C8M0QI8CrMsPkR
58,Boston,spotify:album:2QLp07RO6anZHmtcKTEvSC,Boston,spotify:artist:29kkCKKGXheHuoO829FxWK,285133,58,More Than a Feeling,spotify:track:1QEEqeFIZktqIpPI4jSVSF
59,Pour Some Sugar On Me (2012),spotify:album:5eJnzLcFCVt0Wcepaj6GiW,Def Leppard,spotify:artist:6H1RjVyNruCmrBEWRbD0VZ,261532,59,Pour Some Sugar On Me (2012),spotify:track:0LN0ASTtcGIbNTnjSHG6eO
60,Music For The People,spotify:album:03ZfzcyHfeWSuADL87VuTQ,Marky Mark And The Funky Bunch,spotify:artist:4046bnFxFJdLEtG7F2qXaV,269306,60,Good Vibrations,spotify:track:5hWdgGVcfTeLPAiHM6EZG9
61,Alive 2007,spotify:album:7u6zL7kqpgLPISZYXNTgYk,Daft Punk,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi,342626,61,Around The World / Harder Better Faster Stronger,spotify:track:5RByQFt9Mlo8hDYJ921tCv
62,The Slim Shady LP,spotify:album:1S2zX2EzIJPkcptERhrkGh,Eminem,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,268400,62,My Name Is,spotify:track:0l08dcPEqNEUhymVBext8h
63,Encore,spotify:album:1kTlYbs28MXw7hwO0NLYif,Eminem,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,265480,63,Ass Like That,spotify:track:4gXdMZkBN1neE9nX6yRALa
64,The Eminem Show,spotify:album:2cWBwpqMsDJC1ZUwz813lo,Eminem,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,290226,64,Without Me,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk
65,Songs In The Key Of Life,spotify:album:2HVx2tiZnLX8xeaUthed1e,Stevie Wonder,spotify:artist:7guDJrEfX3qb6FEbdPA5qi,252373,65,I Wish,spotify:track:74MfBIVOVHzQiJqfJ1dgTo
66,Tommy Sparks,spotify:album:5Jd8WbEW8NmZrX0n1eynNe,Tommy Sparks,spotify:artist:66uOhXPcCmXFosB8DkSs4b,207640,66,She's Got Me Dancing,spotify:track:0Tsp2actykcSvJp3S5K2tM
67,Paul Simon,spotify:album:7npBPiCHjPj8PVIGPuHXep,Paul Simon,spotify:artist:2CvCyf1gEVhI0mX6aFXmVI,164813,67,Me and Julio Down by the Schoolyard,spotify:track:6vxHp3CDNo0afgKGp2yi1E
68,Straight Outta Compton,spotify:album:0Y7qkJVZ06tS2GUCDptzyW,N.W.A.,spotify:artist:4EnEZVjo3w1cwcQYePccay,265101,68,Express Yourself,spotify:track:52IuMfbQa9aqRPz2oYPAI8
69,Blood Sugar Sex Magik,spotify:album:30Perjew8HyGkdSmqguYyg,Red Hot Chili Peppers,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,282906,69,Give It Away,spotify:track:0uppYCG86ajpV2hSR3dJJ0
70,Life After Death (Remastered Edition),spotify:album:7dRdaGSxgcBdJnrOviQRuB,The Notorious B.I.G.,spotify:artist:5me0Irg2ANcsgc93uaYrpb,204026,70,Ten Crack Commandments - 2014 Remastered Version,spotify:track:1Z7C8ClE8UEaH70jCCeJH2
71,1999,spotify:album:100sbzLt8tFdeksrctxIG1,Joey Bada$$,spotify:artist:2P5sC9cVZDToPxyomzF1UH,162853,71,World Domination,spotify:track:1OO247bWnB5j3bjuwtMcDJ
72,1999,spotify:album:100sbzLt8tFdeksrctxIG1,Joey Bada$$,spotify:artist:2P5sC9cVZDToPxyomzF1UH,202800,72,Survival Tactics (feat. Capital Steez),spotify:track:3lFr31BkSc4MxBN0iKqzI9
73,This Is All Yours,spotify:album:4oktVvRuO1In9B7Hz0xm0a,alt-J,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,216004,73,Every Other Freckle,spotify:track:6BVBkKpZK09NmifUMZqj1z
74,Hot Chocolate,spotify:album:10oMdAuUD0Tcc4BowCWUni,Hot Chocolate,spotify:artist:72VzFto8DYvKHocaHYNWSi,244920,74,You Sexy Thing,spotify:track:714hERk9U1W8FMYkoC83CO
75,At War With The Mystics,spotify:album:6oVaKzODiXqew6MScEd7T4,The Flaming Lips,spotify:artist:16eRpMNXSQ15wuJoeqguaB,222866,75,The W.A.N.D.,spotify:track:2frHiHPVkiNCBMPkYF83Jr
76,Turn Blue,spotify:album:6TvxpBzf9c8H1fsrAaQ8t3,The Black Keys,spotify:artist:7mnBLXK823vNxN3UWB7Gfz,180173,76,Gotta Get Away,spotify:track:0zo4T5c5VV42554ySEc5J6
77,Escort,spotify:album:08xCvkefUdrFFaqqff5W8S,Escort,spotify:artist:4zkiM9DSLNAOmoS5WtSQDt,247706,77,Cocaine Blues,spotify:track:7gA0yghKRzS6bOwPKeg0Vw
78,2014 Forest Hills Drive,spotify:album:7viNUmZZ8ztn2UB4XB3jIL,J. Cole,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,292986,78,No Role Modelz,spotify:track:62vpWI1CHwFy7tMIcSStl8
79,Left Hand Free,spotify:album:1TtL3hpXpw9ymcqU0Gewvt,alt-J,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,250214,79,Left Hand Free - Lido Remix,spotify:track:0iIY7S7uiEYC9TvVaWZHV3
80,One Hot Minute,spotify:album:2rQ135imvelvp89D8eEZOi,Red Hot Chili Peppers,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,285066,80,Aeroplane,spotify:track:0VLdJcQUsqHBBwqPp4CIKJ
81,Parade - Music From The Motion Picture Under The Cherry Moon,spotify:album:54DjkEN3wdCQgfCTZ9WjdB,Prince,spotify:artist:5a2EaR3hamoenG9rDuVn8j,226240,81,Kiss,spotify:track:62LJFaYihsdVrrkgUOJC05
82,Changa,spotify:album:4zZhV656BJMvD2hSAveA91,Faul & Wad Ad,spotify:artist:6HUm6AHJE0oisACMN6NNJ5,342856,82,Changes,spotify:track:73Q6RsHfAkW8v8CK4pLF5R
83,Graduation,spotify:album:3SZr5Pco2oqKFORCP3WNj9,Kanye West,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,311866,83,Stronger,spotify:track:6C7RJEIUDqKkJRZVWdkfkH
84,Settle (The Remixes),spotify:album:0QFMqnSP2kBMTrbfNkj3SB,Disclosure,spotify:artist:6nS5roXSAGhTGr34W6n7Et,282812,84,You & Me - Flume Remix,spotify:track:1snNAXmmPXCn0dkF9DaPWw
85,Flume: Deluxe Edition,spotify:album:1yc3Ldus5BkJBVX9mSFMt4,Flume,spotify:artist:6nxWCVXbOlEVRexSbLsTer,79358,85,Hyperparadise - Flume Mixtape Version,spotify:track:4XjuiZdzJ1TdS85OkolHOg
86,Flume: Deluxe Edition,spotify:album:1yc3Ldus5BkJBVX9mSFMt4,Flume,spotify:artist:6nxWCVXbOlEVRexSbLsTer,230824,86,Insane - L D R U Remix,spotify:track:1smPByMvAztYFNvyTHFYYp
87,"Audio, Video, Disco.",spotify:album:1XWz4cZ6Q6YW3pOni2b49m,Justice,spotify:artist:1gR0gsQYfi6joyO1dlp76N,254493,87,New Lands,spotify:track:3G4JCgSCGZczlEsyB6YkVY
88,Beggars Banquet,spotify:album:5WZFtmADuJUZPtt0NER0Qi,The Rolling Stones,spotify:artist:22bE4uQ6baNwSHPVcDxLCe,377746,88,Sympathy For The Devil,spotify:track:4sFbojhVXQv7dBC9PVCcRn
89,Express Yourself,spotify:album:2aUItMxwVnUJg4btjcUxC5,Charles Wright & The Watts 103rd Street Rhythm Band,spotify:artist:2t0kaaDtGZtmpczIAMaVTQ,233613,89,Express Yourself,spotify:track:4pW3aTX3kAmOaPJfc9UM12
90,KC and the Sunshine Band,spotify:album:6S2ZnQo8V7k7EQZZEK3WcR,KC & The Sunshine Band,spotify:artist:3mQBpAOMWYqAZyxtyeo4Lo,317160,90,Get Down Tonight - 2004 Remastered Version,spotify:track:2qVZpGu1v98tvUAutqyAfJ
91,Rambo,spotify:album:1BlSDSXKcUDQaVhTjXP67j,Deorro,spotify:artist:6VD4UEUPvtsemqD3mmTqCR,235860,91,Rambo - Hardwell Edit,spotify:track:36alsPOroeWXUyTDsoeixK
92,"Anjunabeats, Vol. 11",spotify:album:63CCluNcVM4wTPTjmJYnak,Audien,spotify:artist:4xnMDfgEmXZEEDdITKcGuE,216413,92,Hindsight,spotify:track:6NyMWLQ9oH8o8duJhfgfSz
93,One Touch,spotify:album:5NSO3yFjh0vJAGqtWARAVF,Baauer,spotify:artist:25fqWEebq6PoiGQIHIrdtv,215000,93,One Touch,spotify:track:3zBWN2RILlV8RshkKvQsW8
94,Bap U,spotify:album:4MJYvwpi2vgctW2J9k054i,Party Favor,spotify:artist:7yPPzu5UdAK7yagQqjEZQm,153696,94,Bap U,spotify:track:4Ijr3J0lnLCGZvpXBiqCjU
95,Turn up the Speakers,spotify:album:5jUNMLCpxcMrmzCLuEaaHj,Afrojack,spotify:artist:4D75GcNG95ebPtNvoNVXhz,343120,95,Turn up the Speakers - Original Mix,spotify:track:0nz3SonnHRwEbRQreKZTbY
96,Okay,spotify:album:6zwUPGMAnjh2PLxfVDTdnf,Shiba San,spotify:artist:7Hr9bE0u9Rl5n6QahVNRnc,359297,96,Okay,spotify:track:5VS7aJFWhrm5U4gO7wHbVB
97,SremmLife,spotify:album:6eDx949ONWDCN0O22wFZf7,Rae Sremmurd,spotify:artist:7iZtZyCzp3LItcw1wtPI3D,200080,97,No Type,spotify:track:4scpF6J5uMBvoh6sFB7EL1
98,Hella Hoes,spotify:album:2WNrT4HGWNJy7xJCZ92Oot,A$AP Mob,spotify:artist:7yO4IdJjCEPz7YgZMe25iS,211964,98,Hella Hoes,spotify:track:7MDKvOzNgAJ3KMCtaP2UOa
99,Party Up,spotify:album:32fPY5IcNWXuK2HdKh4fW9,Destructo,spotify:artist:0BEYTctVmnYa5yStp4Jpab,259920,99,Party Up - GTA Remix,spotify:track:7inJ78Wpv18w24Zc4ZGRag
100,The Nightday,spotify:album:62e42RyXywke5INCA3VRGJ,ZHU,spotify:artist:28j8lBWDdDSHSSt5oPlsX2,213443,100,Paradise Awaits,spotify:track:1gUZLUdlhcNk5zeBF1fc6j
101,Feel The Love (feat. John Newman),spotify:album:6SRwxmQjAneSSyfhE7fv37,Rudimental,spotify:artist:4WN5naL3ofxrVBgFpguzKo,288830,101,Feel The Love - feat. John Newman [Fred V & Grafix Remix],spotify:track:3OG0bKPHVgov24bf3UXZRh
102,OG Maco EP,spotify:album:64PPnBAtsVz5WcIX8rjFKC,OG Maco,spotify:artist:0nvvVQhPQGkYTJlThLbJeu,210128,102,U Guessed It (Remix),spotify:track:33OG3eJX77UAcaTzQa0xIu
103,White T (Original Music Soundtrack Inspired By The Movie),spotify:album:5kSXMVJVAfswwYYDUxgXgN,YG,spotify:artist:3elR9fj2COXgTJlJm7NtP7,201176,103,I'm Good,spotify:track:3KJ7btrsyVPy2VJXBElxq6
104,The Light,spotify:album:6JX0i2S3uNsrppXKPI7wcj,Disco Fries,spotify:artist:7G7KvDCLdVG0Ok511Iqc9U,346875,104,The Light - Club Mix,spotify:track:3xHV96EQkFNorlIFQDT88v
105,Forget The World,spotify:album:7eIdlHTVcGUhf6WGGffQES,Afrojack,spotify:artist:4D75GcNG95ebPtNvoNVXhz,319684,105,We'll Be Ok,spotify:track:10qPhu2ekexZziM2uztYL4
106,Jaguar,spotify:album:5H4o8uDIIhavTtYbUsoiBn,What So Not,spotify:artist:4AA8eXtzqh5ykxtafLaPOi,286928,106,Jaguar,spotify:track:4JLojdKkKNM3rgvP2zvUGR
107,HyperParadise,spotify:album:6l7cNe3wCIRqeyZwSQIfzz,Hermitude,spotify:artist:3fmMaLC5jjf2N4EC2kTx0u,290000,107,HyperParadise - Flume Remix (Ganz Flip),spotify:track:0QAjwIEt6FVTbfASxmNolZ
108,Feel The Volume,spotify:album:6ZHnlA5lXphSHoYLsQSYTd,Jauz,spotify:artist:5ttgIeUVka6FLyi00Uu5h8,230400,108,Feel The Volume,spotify:track:03IxJiB8ZOH9hEQZF5mCNY
109,My Friends Never Die,spotify:album:5wujmLudsKEx9PZdVIPUUS,ODESZA,spotify:artist:21mKp7DqtSNHhCAU2ugvUw,171500,109,My Friends Never Die,spotify:track:2eMh8ISgK9dylE51SJUixA
110,In Time (feat. Anabel Englund),spotify:album:30jORAA3DJXRPMRGA3ts5W,PeaceTreaty,spotify:artist:6SwEeZVewzRLzWWe0Sq1NR,267428,110,In Time - Singularity Remix,spotify:track:56jdf9syPFsTINmIU1EZPn
111,Gecko (Overdrive),spotify:album:5QxgelsYMo3MeBiIu037fD,Oliver Heldens,spotify:artist:5nki7yRhxgM509M5ADlN1p,297090,111,Gecko (Overdrive) - Extended,spotify:track:6H4HRR3kRteksf8SFnrSCh
112,In Return,spotify:album:7eq7Um3f3NMlHuNQSpicsz,ODESZA,spotify:artist:21mKp7DqtSNHhCAU2ugvUw,160000,112,Sun Models,spotify:track:7avUYFehb1GscgCncPdBDK
113,Dynamics,spotify:album:0hQQPEjVB6Xp3DMvVmG45K,Holy Ghost!,spotify:artist:2Vhc7Y0Kc6HzMC6glKM4h6,483706,113,Dumb Disco Ideas,spotify:track:577HuVuyCyKEblC3ihTgSn
114,Teenage Crime,spotify:album:38rihiyzzQc3OzBkLGeYIC,Adrian Lux,spotify:artist:5kp9Qhzri9LrDkzrtjt5Sh,423750,114,Teenage Crime - Axwell & Henrik B Remode,spotify:track:6ICXI2waLo7zwqMp6sNo1t
115,Bend Ova,spotify:album:7hSGhpAzdMDnh1UVcwBomX,Lil Jon,spotify:artist:7sfl4Xt5KmfyDs2T3SVSMK,226106,115,Bend Ova,spotify:track:35x6JdLCr4VWWR5ShNoAWo
116,Symphonica,spotify:album:2UctFrK6misgjelNvEVKjn,Nicky Romero,spotify:artist:5ChF3i92IPZHduM7jN3dpg,308306,116,Symphonica - Original Mix,spotify:track:5sNRVofGC9O0CJ7xwY2Nhj
